AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
macroalgae_other,1.3,0,0,1,0,3492.89766,7.83E-11,3492.89766,7.83E-11
microbe,1.3,-0.000676819,0.000500552,0.999323181,0.000500552,1441.990482,586.3065364,1442.871025,586.4360943
micro_zooplankton,1.3,-0.000259848,0.000309185,0.999740152,0.000309185,1399.423117,803.7751336,1399.708761,803.840665
meso_zooplankton,1.3,-0.000190528,0.000139401,0.999809472,0.000139401,5144.992312,803.2388952,5145.935328,803.2003794
macro_zooplankton,1.3,-0.017159393,0.013917818,0.982840607,0.013917818,55.10072341,18.07018322,56.12382074,18.59171186
eupahusiids,1.3,-0.003648824,0.005318039,0.996351176,0.005318039,23.02420871,14.0918468,23.0865655,14.09379831
gelatinous_zoop,1.3,-0.011284986,0.011924662,0.988715014,0.011924662,239.3546243,123.6262976,241.7960124,123.9773978
large_jellyfish,1.3,-0.026548713,0.01901788,0.973451287,0.01901788,150.3894073,64.37379367,154.5383302,66.01635227
gulf_menhaden,1.3,-0.011159172,0.01004307,0.988840828,0.01004307,700.1105168,361.3502612,706.4577296,361.1212632
forage_fish,1.3,0.249038696,0.000563294,1.249038696,0.000563294,115.0241608,58.99441589,92.09096738,47.23935341
pelagic_fish_planktivore,1.3,-0.013406902,0.011100616,0.986593098,0.011100616,254.0110958,76.31549763,257.479067,77.47823715
demersal_fish_piscivore,1.3,-0.019450197,0.012690317,0.980549803,0.012690317,8.498625533,2.678313752,8.673111889,2.748601651
demersal_fish_benthivore,1.3,-0.019008284,0.010940089,0.980991716,0.010940089,143.3880361,38.82298724,146.2283101,39.73715399
pelagic_fish_apex_predator,1.3,-0.009805088,0.014169145,0.990194912,0.014169145,3.769976347,1.443403382,3.815147456,1.483397213
pelagic_fish_piscivore,1.3,0.021689736,0.024424758,1.021689736,0.024424758,26.60023221,7.875292475,26.09034044,7.925384366
cepahlopods,1.3,-0.023749835,0.016099829,0.976250165,0.016099829,26.19229432,9.039559351,26.86065739,9.368870188
benthos_epifauna,1.3,-0.005234091,0.003297367,0.994765909,0.003297367,115.8468406,39.92033488,116.4295319,40.05264447
benthos_filter_feeders,1.3,-0.000608709,0.000560699,0.999391291,0.000560699,391.9939492,183.0774627,392.2103859,183.1136223
benthos_infauna,1.3,-0.001750979,0.001152567,0.998249021,0.001152567,105.7504106,47.51620964,105.9374784,47.59256127
seabirds,1.3,0.042855415,0.044867826,1.042855415,0.044867826,0.068744724,0.033518963,0.065782148,0.031180238
turtle,1.3,-0.013457598,0.011577113,0.986542402,0.011577113,0.00731564,0.004215181,0.007411844,0.004272574
odontocetes,1.3,-0.012276563,0.01344167,0.987723437,0.01344167,0.505837459,0.298965402,0.513426597,0.305648213
baleen_whales,1.3,-0.005987676,0.014847772,0.994012324,0.014847772,0.000146837,8.76E-05,0.000147937,8.85E-05
fish_eggs,1.3,-0.004093339,0.003792405,0.995906661,0.003792405,5.964690472,1.528335505,5.989398591,1.531216769
detritus_offal,1.3,-0.011820451,0.009652684,0.988179549,0.009652684,0.813868549,0.739658875,0.82187267,0.743135754
fisheries,1.3,-0.011820451,0.009652684,0.988179549,0.009652684,3.773813608,2.569450668,3.810652448,2.578020199
pelagic_detritus,1.3,-0.000436552,0.000430774,0.999563448,0.000430774,1280.175904,247.8972393,1280.736781,248.0074371
benthic_detritus,1.3,-0.000228208,0.000372938,0.999771792,0.000372938,561.8842889,72.20140601,562.0125949,72.21826325
NO3,1.35,0,0,0,0,0,0,0,0
pelagic_NH4,1.35,0.002186386,0.00154705,1.002186386,0.00154705,3298.265266,480.3559005,3291.276177,480.7234576
benthic_NH4,1.35,-0.002909786,0.001900588,0.997090214,0.001900588,1968.187809,419.0629841,1973.755627,419.4168497
phytoplankton,1.35,0,0,1,0,6145.228686,1.42E-10,6145.228686,1.42E-10
microphytobethos,1.35,0,0,1,0,706.6794,1.26E-11,706.6794,1.26E-11
macroalgae_other,1.35,0,0,1,0,3492.89766,7.83E-11,3492.89766,7.83E-11
microbe,1.35,-0.00094735,0.000700568,0.99905265,0.000700568,1441.638518,586.2548979,1442.871025,586.4360943
micro_zooplankton,1.35,-0.000363713,0.000432737,0.999636287,0.000432737,1399.308937,803.7489589,1399.708761,803.840665
meso_zooplankton,1.35,-0.000266691,0.000195111,0.999733309,0.000195111,5144.615352,803.2544617,5145.935328,803.2003794
macro_zooplankton,1.35,-0.024016477,0.019481005,0.975983523,0.019481005,54.69185885,17.87707057,56.12382074,18.59171186
eupahusiids,1.35,-0.005107839,0.007444385,0.994892161,0.007444385,22.99927512,14.09116352,23.0865655,14.09379831
gelatinous_zoop,1.35,-0.015796604,0.016692553,0.984203396,0.016692553,238.3785645,123.5017915,241.7960124,123.9773978
large_jellyfish,1.35,-0.037157156,0.026617084,0.962842844,0.026617084,148.7312166,63.7657905,154.5383302,66.01635227
gulf_menhaden,1.35,-0.015621689,0.014059327,0.984378311,0.014059327,697.5722916,361.4589277,706.4577296,361.1212632
forage_fish,1.35,0.348546886,0.000851286,1.348546886,0.000851286,124.1874447,63.69035007,92.09096738,47.23935341
pelagic_fish_planktivore,1.35,-0.018762904,0.015536369,0.981237096,0.015536369,252.6255238,75.88412385,257.479067,77.47823715
demersal_fish_piscivore,1.35,-0.027202523,0.017737229,0.972797477,0.017737229,8.429082029,2.651978123,8.673111889,2.748601651
demersal_fish_benthivore,1.35,-0.026584391,0.015299085,0.973415609,0.015299085,142.2557925,38.47974502,146.2283101,39.73715399
pelagic_fish_apex_predator,1.35,-0.013701628,0.019803547,0.986298372,0.019803547,3.752018019,1.428511225,3.815147456,1.483397213
pelagic_fish_piscivore,1.35,0.0303701,0.034179875,1.0303701,0.034179875,26.80437833,7.869522166,26.09034044,7.925384366
cepahlopods,1.35,-0.033230718,0.022526707,0.966769282,0.022526707,25.92545583,8.918054257,26.86065739,9.368870188
benthos_epifauna,1.35,-0.0073256,0.004614541,0.9926744,0.004614541,115.6139968,39.86836324,116.4295319,40.05264447
benthos_filter_feeders,1.35,-0.000852106,0.000784882,0.999147894,0.000784882,391.9074048,183.063058,392.2103859,183.1136223
benthos_infauna,1.35,-0.002451211,0.001613504,0.997548789,0.001613504,105.6755984,47.48580385,105.9374784,47.59256127
seabirds,1.35,0.059986684,0.062795408,1.059986684,0.062795408,0.069928965,0.034566014,0.065782148,0.031180238
turtle,1.35,-0.018835594,0.01620354,0.981164406,0.01620354,0.007277194,0.004192862,0.007411844,0.004272574
odontocetes,1.35,-0.017174745,0.018809008,0.982825255,0.018809008,0.502808832,0.296354011,0.513426597,0.305648213
baleen_whales,1.35,-0.008380493,0.020782027,0.991619507,0.020782027,0.000146397,8.73E-05,0.000147937,8.85E-05
fish_eggs,1.35,-0.005722746,0.005305059,0.994277254,0.005305059,5.954853018,1.527285485,5.989398591,1.531216769
detritus_offal,1.35,-0.016542229,0.013507989,0.983457771,0.013507989,0.810670021,0.738291126,0.82187267,0.743135754
fisheries,1.35,-0.016542229,0.013507989,0.983457771,0.013507989,3.759091965,2.566121951,3.810652448,2.578020199
pelagic_detritus,1.35,-0.000611068,0.000602953,0.999388932,0.000602953,1279.951692,247.8535499,1280.736781,248.0074371
