AggGroup,scale_factor,FractionalChange_mean,FractionalChange_std,RatioChange_mean ,RatioChange_std,Production_scenario_mean ,Production_scenario_std  ,Production_base_mean ,Production_base_std
jellyfish,1.45,0.422222991,0.032120823,1.422222991,0.032120823,519.0493444,2.77E+02,364.4933266,1.96E+02
macrobenthos,1.45,0.009412791,0.006380625,1.009412791,0.006380625,14.2756789,1.77E+01,14.14050134,1.76E+01
forage_fish,1.45,-0.078953371,0.064935165,0.921046629,0.064935165,1345.895564,590.8816252,1438.951543,586.5548569
mesopelagic,1.45,-0.130499351,0.096097169,0.869500649,0.096097169,151.1780929,81.14974409,172.1428689,86.6667051
cephalopods,1.45,-0.107621357,0.072015386,0.892378643,0.072015386,31.96013785,23.32654135,35.49804108,25.28956206
pelagicFishPlanktivore,1.45,-0.154795506,0.159114503,0.845204494,0.159114503,104.2633092,65.08399527,124.8972703,73.6880428
pelagicFishPiscivore,1.45,-0.094272188,0.057641959,0.905727812,0.057641959,120.7756217,66.63547843,132.3813448,70.25997706
demersalFishPiscivore,1.45,-0.09723275,0.067838873,0.90276725,0.067838873,23.16298538,9.951374923,25.47973901,10.32246111
demersalFishBenthivore,1.45,-0.09526002,0.111007087,0.90473998,0.111007087,85.7989315,42.50325662,95.06010572,45.08407423
pelagicFishApexPred,1.45,-0.090392133,0.052538164,0.909607867,0.052538164,0.146211604,0.103918897,0.159640314,0.110636538
seabirds,1.45,-0.090056761,0.07576345,0.909943239,0.07576345,3.230001789,2.448186646,3.48130731,2.536373638
odontocetes,1.45,-0.08811406,0.061614058,0.91188594,0.061614058,4.140961248,2.109193335,4.507419244,2.190963303
turtle,1.45,0.253468619,0.154145731,1.253468619,0.154145731,0.001511351,0.001566246,0.001175351,0.001168638
detritusOffal,1.45,-0.078953371,0.064935165,0.921046629,0.064935165,537.5112154,261.9439686,574.7016749,263.599928
fisheries,1.45,-0.085074779,0.060306536,0.914925221,0.060306536,37.98719454,17.74030172,41.02754063,17.93291297
